account,risk_score,is_laundering,community_size,anomaly_score
1467_80A7E0940,0.92281795,0,1,0.3170267647039471
11_8021309A0,0.9226239,1,1,0.3114479476834045
22205_813454510,0.92253196,0,1,0.3074606236827407
236746_80F2C2FA0,0.9217889,1,2,0.3820645507262566
1502_800637C70,0.921476,1,2,0.43374754498701196
117453_80D765790,0.92141986,0,1,0.3077148427632307
21745_8093828B0,0.9212615,0,1,0.31178949429931335
24963_802F5B390,0.9209852,0,1,0.3170267647039471
17729_811131340,0.9209718,0,1,0.3077148427632307
23146_8046F37E0,0.92090344,0,1,0.31447584253940275
4766_805FF06A0,0.92076993,0,1,0.31447584253940275
25547_80D0A6200,0.9205664,0,1,0.31178949429931335
21550_814261D10,0.92048,0,1,0.3074606236827407
18617_80D65C430,0.91971284,0,1,0.3077148427632307
3489_80211F620,0.9194603,1,1,0.3080522955029017
214050_80537F610,0.9187358,1,2,0.624373346532223
16678_806619F30,0.918393,0,1,0.3074606236827407
22164_8017F7FF0,0.9181843,1,1,0.3170267647039471
23885_80934DE90,0.9179356,0,1,0.3456669083617765
12381_801875750,0.9178612,0,1,0.31178949429931335
18180_809C116F0,0.9178612,0,1,0.31178949429931335
13327_801653290,0.91784495,0,1,0.31413135319076135
3229_8024CD6E0,0.91770905,0,1,0.31178949429931335
10_8009CF210,0.9170643,1,6,0.5783389788438752
7675_80319F880,0.9165747,0,1,0.31447584253940275
129076_80C3796A0,0.9165185,0,1,0.31447584253940275
235986_8120B7450,0.9161989,0,1,0.31447584253940275
120438_80C042B50,0.9161767,0,1,0.31447584253940275
13862_8084B8030,0.91617626,0,1,0.3074606236827407
12004_801CAEB30,0.9160857,0,1,0.34923035180588546
14077_801DA3E20,0.9159527,0,2,0.45007985371201376
1686_800D38370,0.9157718,0,1,0.31447584253940275
18405_806DA0590,0.91567343,1,2,0.42601585405000975
3_801E636B0,0.9152627,0,1,0.3114479476834045
2053_80F2FC160,0.9150877,1,1,0.3074606236827407
240648_80EE50290,0.9150452,0,1,0.31447584253940275
8798_80693AB90,0.9148244,1,1,0.31447584253940275
21940_80C5AEED0,0.9147604,1,2,0.5445892250737707
113090_805254570,0.9146795,0,1,0.3074606236827407
17491_8070ADCC0,0.9146795,0,1,0.3074606236827407
18067_803604C20,0.9143439,0,1,0.3114479476834045
1362_8091462B0,0.91430265,0,1,0.3077148427632307
22_801B82B70,0.9141384,0,1,0.31413135319076135
701_805ABAAA0,0.9140504,0,1,0.31447584253940275
118180_807127040,0.9134943,0,1,0.3074606236827407
18067_808DEA6D0,0.9134683,0,1,0.31178949429931335
27954_80CC4B000,0.9134683,1,1,0.31178949429931335
112078_80D98FE80,0.91342413,0,1,0.3074606236827407
10057_803F405F0,0.91277134,1,2,0.455987387481897
23691_8021353D0,0.9125933,1,1,0.3170267647039471
19593_8038A9100,0.9124838,1,5,0.6470066906956884
7675_80B653C50,0.91138065,0,1,0.3074606236827407
23537_806463100,0.9108335,0,1,0.31178949429931335
1_801ACA360,0.9107962,0,1,0.3074606236827407
218755_8097D4E10,0.9107826,0,1,0.3114479476834045
6179_809BBC7B0,0.9106259,1,3,0.4407201828129654
21258_804B59FE0,0.9101949,0,1,0.3459008609971983
12735_801260570,0.9101665,1,6,0.428842892513931
217496_806F3FE20,0.9096372,1,1,0.39360765702782036
15055_802958DB0,0.9093273,1,1,0.31755786570808386
795_800CF62E0,0.9092601,0,1,0.31447584253940275
125906_80D8F53F0,0.90924925,1,1,0.4904940540696594
217096_807542A30,0.9092325,0,1,0.3074606236827407
15768_81160FC90,0.9091099,0,1,0.3074606236827407
5329_807C10E70,0.90906703,0,1,0.35290285469325794
113798_80DC756E0,0.9090364,1,1496,0.5869336896513249
230230_81080ED70,0.90891594,0,1,0.3074606236827407
115976_80680EC10,0.9087586,0,3,0.4418097606255915
120511_808147850,0.9086298,0,1,0.3114479476834045
1124_801533710,0.9085526,0,1,0.3077148427632307
31208_80C250BD0,0.90839547,1,4,0.42702125737819563
111121_8097FEAD0,0.90812325,0,1,0.31178949429931335
1547_80A769990,0.90798813,0,1,0.3077148427632307
226331_80C6FBC40,0.9079753,0,1,0.3114479476834045
1299_80169CEE0,0.90791756,0,1,0.31447584253940275
1_801A44770,0.90791345,0,1,0.31204119775730016
13029_805C2B8A0,0.9077983,1,2,0.7352600032159876
6276_803443700,0.9075606,0,1,0.31413135319076135
10_801897E50,0.9075381,0,1,0.31178949429931335
1522_80C465880,0.9075246,0,1,0.31178949429931335
23885_80CBD7290,0.90730715,0,1,0.3074606236827407
18475_803959550,0.9072663,1,1,0.3074606236827407
8248_803119930,0.9072306,0,3,0.44665821965922703
1665_80071D610,0.9071072,1,2,0.651332400062184
22062_80D1AF340,0.90694255,1,1,0.3074606236827407
18049_80E5EF4C0,0.906813,0,1,0.3074606236827407
20486_807E9A5B0,0.9067838,0,1,0.31178949429931335
224555_80960BE30,0.9067483,0,1,0.31447584253940275
1916_801575E20,0.9065982,0,1,0.3459008609971983
1299_8011D2E10,0.9065982,0,1,0.344691832483701
22828_801BFA830,0.9064952,1,1,0.3074606236827407
147912_812F42A90,0.9064795,0,1,0.3074606236827407
6179_80D17F7D0,0.90611315,0,1,0.31178949429931335
1686_801710220,0.90581405,0,1,0.31447584253940275
22_8077A8540,0.90581363,0,1,0.31178949429931335
1411_802DABCA0,0.90527564,1,1,0.31447584253940275
225156_810B1FCC0,0.90475804,0,1,0.3074606236827407
10813_80409E660,0.9047081,0,1,0.31204119775730016
213952_8070DA490,0.90465736,0,1,0.3077148427632307
1729_8007A5BC0,0.90445524,0,1,0.31447584253940275
5627_8084AEC00,0.9043788,0,1,0.345745655775321
28693_805175430,0.9041595,0,1,0.31178949429931335
17732_80C807C30,0.9037704,0,1,0.31863371942637103
12719_8056A3FC0,0.9036352,0,3,0.4604258269115575
1292_800667140,0.90355486,0,1,0.31447584253940275
21387_80C0C5CF0,0.90354687,0,1,0.3074606236827407
13659_805983380,0.90347564,0,1,0.3074606236827407
8888_803414F40,0.9033534,0,1,0.3459008609971983
16136_8062E28C0,0.9028929,0,1,0.3077148427632307
22062_81026E140,0.9028743,0,1,0.3074606236827407
17610_803BD9100,0.9027472,0,1,0.3074606236827407
8805_80C8C6130,0.90255344,0,1,0.3074606236827407
29279_80D107070,0.90255344,1,1,0.3074606236827407
3242_802BFB210,0.9021962,0,1,0.3159518233238387
4_803918F90,0.9021641,0,1,0.31178949429931335
115700_80B3E96E0,0.9021615,1,2,0.3800047723930363
1674_80364D960,0.90203595,0,1,0.31447584253940275
14011_80AC0B2E0,0.9020208,1,1,0.31413135319076135
11_8000FD1F0,0.901473,0,1,0.34755305682021503
15231_805302AA0,0.90138656,0,1,0.3074606236827407
1411_8022BC050,0.9013681,0,1,0.34868094570448627
21611_80C9BFD30,0.90136313,0,1,0.3077148427632307
13083_8022CA2E0,0.901293,0,1,0.3074606236827407
23344_801FFFF10,0.901293,0,1,0.3074606236827407
3149_8032CB9D0,0.9011239,0,1,0.3506779182482242
12_8016FDD30,0.9008581,1,1,0.3170267647039471
21940_800C53870,0.9006866,0,1,0.3077148427632307
111631_805AE8C00,0.9002169,0,1,0.31447584253940275
28694_807942320,0.90017754,0,1,0.31178949429931335
212_808017D00,0.90016425,0,1,0.3074606236827407
10656_8044B4190,0.9001538,1,1,0.318998838368563
11471_800E82A50,0.9001361,0,1,0.3170267647039471
22736_80228EA50,0.9001169,0,1,0.3074606236827407
225622_80CCFE4C0,0.8998911,0,1,0.3074606236827407
13917_805A7B900,0.89986867,0,1,0.3170267647039471
23885_805154770,0.89980555,0,1,0.3114479476834045
12381_8015F88B0,0.8997004,0,1,0.3114479476834045
17863_808BAD4C0,0.8996409,0,1,0.3074606236827407
220888_8128D1E70,0.89963764,0,1,0.3074606236827407
1299_800E44770,0.8995383,1,1,0.31447584253940275
1522_8018AED50,0.8995129,0,1,0.3459008609971983
15625_8079E4F80,0.8995129,0,1,0.3459008609971983
795_800BFCBA0,0.89926785,0,1,0.3074606236827407
23_8001FE5D0,0.8991249,1,5,0.4777735152986681
5140_80A2728D0,0.899038,1,1,0.3074606236827407
15085_80C49F790,0.89881337,0,1,0.3077148427632307
24811_80BB7BCF0,0.89881337,0,1,0.3077148427632307
11974_8017C1E50,0.89874583,0,1,0.3456669083617765
27103_80F93F560,0.8987436,1,1,0.31178949429931335
11296_805928D90,0.8986217,0,1,0.3505980474571153
2053_80529FA00,0.8986034,0,1,0.3170267647039471
17649_8102F9F30,0.89857084,0,1,0.3074606236827407
21940_801753560,0.8984512,0,1,0.3074606236827407
2843_800FC3190,0.8983342,0,1,0.35751582941153026
130219_80FF57DB0,0.8977264,0,1,0.3074606236827407
23_802D0E2C0,0.8976268,0,1,0.3626118153261006
2845_80E1609B0,0.8976202,0,1,0.3074606236827407
5329_812649EB0,0.8974599,0,1,0.3077148427632307
13265_813213830,0.89745796,0,1,0.3074606236827407
215266_8091FAB00,0.89745796,0,1,0.3074606236827407
8354_8057C0690,0.8973233,0,1,0.3077148427632307
8771_805B5C500,0.89693445,1,1,0.31413135319076135
1467_8019EFB60,0.89683807,1,1,0.3074606236827407
11813_80508F570,0.89667565,0,1,0.31413135319076135
1853_8010B21A0,0.89659667,1,5,0.4082039961685719
15964_802D22E80,0.8963359,0,1,0.31178949429931335
25547_8034D1800,0.8961219,1,1,0.3540537218878821
2991_802748380,0.8959434,0,1,0.31178949429931335
23_8000FE1F0,0.8957195,0,1,0.34512310823809383
1_800056160,0.8956112,1,5,0.554619086131259
3_803144800,0.8954446,0,1,0.3074606236827407
1686_8043F48D0,0.89508075,0,1,0.3077148427632307
28726_80B8D74A0,0.8948132,0,1,0.31914090200065864
11_80022FC00,0.8947428,1,1,0.36591690922715353
9665_803ECC700,0.8947079,0,1,0.31178949429931335
14_803201C70,0.89470214,0,1,0.3532555991240326
2053_800DD27F0,0.8944698,0,1,0.31178949429931335
11838_80474A610,0.894407,0,1,0.3074606236827407
30416_80F7BDBC0,0.89413613,0,1,0.3074606236827407
15964_805331420,0.8940736,1,1,0.3077148427632307
15730_8081AA980,0.89388746,0,1,0.31447584253940275
225263_80A383540,0.8934308,0,1,0.3074606236827407
219805_8136A48C0,0.8933477,0,1,0.3074606236827407
17610_80820D270,0.8932327,0,1,0.31914090200065864
23_8001AEBF0,0.89319575,1,2,0.628023244930713
26463_80B6B1FD0,0.89281636,0,1,0.31447584253940275
18475_80EFFC7A0,0.8926265,0,1,0.3074606236827407
235440_81009EFD0,0.89253396,0,1,0.31914090200065864
23885_8024531D0,0.8924368,0,1,0.3077148427632307
122086_80A405410,0.8923112,0,1,0.31914090200065864
11157_805B3B6F0,0.8922147,0,1,0.31447584253940275
3698_805FF0D40,0.8921867,0,1,0.36840133167854133
12461_8088DA520,0.89210844,0,1,0.3077148427632307
2439_8012AEB00,0.89208263,0,1,0.34755305682021503
46276_8118F3FF0,0.89198273,0,1,0.3077148427632307
11107_801CDFD80,0.8918694,0,1,0.31447584253940275
28827_807F461C0,0.89183074,0,1,0.3077148427632307
120627_80C9AC610,0.8914145,0,1,0.3077148427632307
21749_807D6A580,0.89140254,0,1,0.3077148427632307
1068_8011F0870,0.8913726,1,5,0.682131147844105
128853_80E947830,0.8913274,0,1,0.3074606236827407
24161_811A06AA0,0.8912783,1,1,0.3074606236827407
242061_8130915F0,0.8912211,0,1,0.3077148427632307
215841_812D9D420,0.89099014,0,1,0.3114479476834045
17610_80ED815E0,0.8908271,1,1,0.3075322450286877
15010_8050749D0,0.8904314,0,1,0.3114479476834045
21611_802B158D0,0.89018023,0,1,0.31413135319076135
227143_80D43FD30,0.8896818,0,1,0.32376910379261176
21174_80076AEB0,0.88961273,0,1,0.3114479476834045
23_8002A0E00,0.8895408,1,1,0.36840133167854133
11_8001D8590,0.88953984,1,3,0.7391654403766932
513_800772CA0,0.8895269,0,1,0.31178949429931335
113779_80B345BA0,0.889494,0,1,0.31178949429931335
236867_81447EC80,0.88931304,0,1,0.3074606236827407
20861_809B74820,0.8889957,0,1,0.3074606236827407
1068_800879780,0.88887465,0,1,0.3114479476834045
24144_80D9B69A0,0.888856,1,889,0.5060553265569233
222664_80AAE1460,0.88879603,0,1,0.31178949429931335
1601_80D05C580,0.88879603,0,1,0.31178949429931335
18549_804E4EAC0,0.8886611,0,1,0.3074606236827407
2627_8012A30E0,0.88864094,0,1,0.37335830634789136
17400_81057CFA0,0.8885247,0,1,0.3077148427632307
16649_8072A6120,0.88831383,0,1,0.3074606236827407
217959_8078A4130,0.8882466,1,1,0.3637265592418624
13265_80BA8D4C0,0.88812566,0,1,0.3074606236827407
23_8002185A0,0.888017,1,1,0.3532982247645656
19740_80EF5D120,0.88789076,0,1,0.3642577494882749
1601_800578800,0.8877981,1,23,0.42870399462052866
11471_808E44ED0,0.8876152,0,1,0.31914090200065864
41837_80FEBC930,0.8876149,0,1,0.3074606236827407
20727_8083275D0,0.88760626,0,1,0.31447584253940275
2053_806691920,0.887558,0,1,0.3170267647039471
18511_803C7FCF0,0.88712484,0,1,0.3077148427632307
14_80365D190,0.88700813,0,1,0.3545620361289757
4866_8042509A0,0.88697636,1,1,0.31447584253940275
13264_80197D300,0.8869482,0,1,0.33157800660148934
5394_805BA83D0,0.88692343,0,1,0.3639564292878724
212818_805BFBA50,0.8867428,0,1,0.3074606236827407
111425_8049876B0,0.8867311,0,1,0.3170267647039471
44041_8122C2F90,0.8866512,0,1,0.3077148427632307
252070_8145A91D0,0.88635904,0,1,0.3074606236827407
12561_801FD0580,0.8862461,0,1,0.35437193991644617
3144_8045B70B0,0.8861903,0,1,0.31413135319076135
11904_801C9F770,0.8861792,0,1,0.3074606236827407
18015_804DE7670,0.8858832,0,1,0.3077148427632307
17748_80D1A0600,0.88567966,0,1,0.3459008609971983
21568_80839AFE0,0.8855496,0,1,0.352729977334337
1729_8006B8FB0,0.8855496,0,1,0.352729977334337
11974_800F35A30,0.8854772,0,1,0.31178949429931335
4600_8025DB750,0.885474,0,1,0.31413135319076135
123997_80DADD7B0,0.88542813,0,1,0.3077148427632307
12_8023ED8B0,0.8853441,1,1,0.3114479476834045
1665_8024F8310,0.88532,0,1,0.31413135319076135
12513_80691DB30,0.8852999,0,1,0.31447584253940275
19777_80DCDCEF0,0.8851387,0,1,0.3114479476834045
23525_80237D1B0,0.8850323,0,1,0.3170267647039471
8074_80E427880,0.88500786,0,1,0.3077148427632307
6075_80A1CC830,0.8845213,0,1,0.3077148427632307
24161_80B4BDA60,0.8845213,0,1,0.3077148427632307
13184_805FC0740,0.8844328,0,1,0.3074606236827407
42810_810C83FC0,0.8840319,0,1,0.3077148427632307
10_800405520,0.8839016,0,1,0.3114479476834045
1522_80E6989A0,0.8838652,0,1,0.3114479476834045
14_803712BB0,0.88382804,0,1,0.3518367335324708
24840_80CA7D7B0,0.883709,0,1,0.3074606236827407
2454_80662A070,0.883709,1,1,0.3074606236827407
12_801E5BD90,0.883709,0,1,0.3074606236827407
4503_80D1F63D0,0.8836908,0,1,0.34271411655609585
22091_8085E6870,0.8836149,0,1,0.3170267647039471
12_8011B4A60,0.88352156,1,1,0.4528483029871903
5425_804A5FE50,0.88339764,1,1,0.3074606236827407
3242_801627DA0,0.88328314,0,1,0.34633907356901433
1522_800587B60,0.8831032,1,1,0.31447584253940275
6075_80241BD20,0.88291943,1,1,0.3550809527794847
18107_8035ACAD0,0.8828946,0,1,0.3456669083617765
1047_809470750,0.88283694,0,1,0.3383652981128033
11904_800CE3660,0.88277674,0,1,0.3170267647039471
20226_80B4603E0,0.8826719,0,1,0.31178949429931335
19705_810794800,0.88262284,0,1,0.31848338197115683
18049_80AB5F990,0.8825481,0,1,0.3077148427632307
13345_813BC1960,0.88249856,0,1,0.3077148427632307
23538_80D019730,0.88242096,0,1,0.3074606236827407
1686_8024BB370,0.88192075,0,1,0.31178949429931335
20_8033BBA90,0.88187164,0,1,0.3462471199831039
12735_808E2AE60,0.88185245,0,1,0.3074606236827407
3229_809C1BB00,0.8818495,0,1,0.31413135319076135
11056_802673C80,0.8818162,0,1,0.3074606236827407
3698_804E51DB0,0.88166314,0,1,0.3501368702815131
15723_80B4D73B0,0.88111657,0,1,0.3074606236827407
3_8035AE5C0,0.8810879,0,1,0.31914090200065864
15980_80B39E7B0,0.8809888,1,1496,0.5080798544555462
21550_800D28A80,0.88080585,0,1,0.34271411655609585
110836_8010A0C80,0.8807368,0,1,0.3077148427632307
12963_80296CA20,0.8807059,1,2,0.4120644388962949
16733_806FB2D70,0.8806377,0,1,0.31447584253940275
11852_8028AD790,0.8805597,0,1,0.3074606236827407
23344_81306A9B0,0.88049936,0,1,0.3077148427632307
9587_803608450,0.8804211,0,1,0.31447584253940275
28694_804ED8800,0.88024515,1,1,0.3383652981128033
218267_8078D03C0,0.88021463,1,2,0.4994811379884636
2952_80ADFA000,0.88007194,0,1,0.3114479476834045
12_80044F690,0.8799711,1,1,0.35437193991644617
1665_8076C7EE0,0.8797465,0,1,0.3114479476834045
1362_8011DFCB0,0.8796915,0,1,0.3077148427632307
21381_803592DB0,0.8795457,0,1,0.3459008609971983
11405_8033AA1B0,0.8793609,1,3,0.43748046891345105
1068_80109FD90,0.87930644,0,1,0.31178949429931335
22_800202780,0.8792455,1,3,0.5708845637565897
24424_80960C7A0,0.8792361,0,1,0.3074606236827407
17732_8031FC940,0.87919486,1,1,0.31447584253940275
22_800BE9770,0.87910783,0,1,0.349064161091985
13265_8019C6830,0.8790772,1,1,0.3074606236827407
10232_804460BB0,0.878988,0,1,0.3074606236827407
2467_801018DA0,0.87898046,1,4,0.49670271688510054
10_80019EFB0,0.8789135,0,1,0.35011182762279547
11296_8062BDEF0,0.8788902,0,1,0.3114479476834045
5140_802026810,0.87882805,0,1,0.31413135319076135
8623_80B877F20,0.87871546,0,1,0.3074606236827407
13667_8050D8570,0.87852377,0,1,0.3074606236827407
15010_80490F440,0.87845415,0,1,0.3462471199831039
11_802388210,0.87845415,0,1,0.3462471199831039
12513_8014028B0,0.8784389,0,1,0.33541908816348026
28255_8034C2E50,0.8784202,0,1,0.3074606236827407
11852_801DF4000,0.8783844,0,1,0.3492064680811295
36932_80F1AF780,0.87835103,1,3,0.3989187537576316
1686_80DB5E730,0.87834364,0,1,0.31447584253940275
122342_80BA7D3D0,0.8782093,0,1,0.3077148427632307
25075_801EB5E90,0.8781584,0,1,0.37124534698901657
5140_8074259E0,0.87799597,0,1,0.3074606236827407
18200_80310E100,0.8779325,0,1,0.3074606236827407
1267_8031E3140,0.87787104,0,1,0.31447584253940275
4600_801DDC9D0,0.8778388,0,1,0.34744347855400054
143508_812D4CC70,0.87780946,0,1,0.3074606236827407
14290_811F91690,0.8775016,1,1,0.3077148427632307
110603_8058D5130,0.8774308,0,1,0.31447584253940275
22806_811656D50,0.8774121,0,1,0.31863371942637103
6276_80475B7D0,0.8774073,0,1,0.31914090200065864
25536_8088D7BE0,0.87737435,0,1,0.3513103996872025
21381_807E4D3C0,0.87737435,0,1,0.3513103996872025
218346_80B529980,0.87712705,0,1,0.31413135319076135
8595_8056F5D00,0.877119,0,1,0.31447584253940275
219969_811F4CF40,0.87706506,0,1,0.3074606236827407
124290_80F1E2EE0,0.87685454,0,1,0.32539302346525967
12797_802789800,0.87685454,0,1,0.32539302346525967
27535_812AD4C40,0.8767184,0,1,0.3077148427632307
216645_809A519E0,0.876698,0,1,0.36153094597992236
21940_812EE89C0,0.8766438,1,2,0.37851672284237015
27564_80D4F8B60,0.8764668,0,1,0.32502703682518524
5329_80B6927A0,0.8763549,0,1,0.35109227464638093
3881_807A4DD10,0.8762997,0,1,0.3248660005531599
27288_80D658300,0.8761103,0,1,0.3077148427632307
112637_805CF30C0,0.876024,0,1,0.3074606236827407
1299_800D51090,0.8760209,0,1,0.3077148427632307
2991_80269E400,0.8757448,0,1,0.31447584253940275
236220_810E184F0,0.8756378,0,1,0.3077148427632307
117999_807764710,0.8754165,0,1,0.3074606236827407
33355_811B24140,0.8752949,0,1,0.31447584253940275
122332_80861EAE0,0.8750322,0,1,0.31914090200065864
2053_800DCE1C0,0.8749346,0,1,0.3074606236827407
36056_81233A2B0,0.8749275,0,1,0.3074606236827407
21922_80D091630,0.8748935,0,1,0.3077148427632307
210261_80413B5A0,0.8747081,0,1,0.31204119775730016
1_8006FA4B0,0.87465316,1,1,0.3466179037383317
21831_808099880,0.8745791,1,4,0.399172117395352
28800_8034A89F0,0.8744977,0,1,0.3074606236827407
3_804A8DBA0,0.874398,0,1,0.3479546045068551
23_800FE48A0,0.874398,0,1,0.3479546045068551
11_802F5B7D0,0.87437856,0,1,0.3671120232431748
18200_812E35450,0.8743056,0,23,0.4343759786566348
12_8001DB230,0.8742214,0,1,0.33172496914141036
22806_8016B2F70,0.87421674,0,1,0.3116513636782705
225589_8109761E0,0.874202,0,1,0.3077148427632307
141045_8116C4870,0.8741955,0,1,0.31447584253940275
119880_813AF2520,0.87417173,0,1,0.3074606236827407
4_807528280,0.87403464,0,1,0.3074606236827407
15750_812593F90,0.87388253,0,1,0.3077148427632307
131800_80ED6B1E0,0.8735198,0,1,0.31447584253940275
21813_80C042310,0.8733399,0,1,0.34865709955339486
216645_80E06B190,0.87311965,0,1,0.3074606236827407
219444_812DE7AF0,0.8731018,0,1,0.3074606236827407
1501_800DC0D90,0.8731004,0,1,0.3114479476834045
6625_802D9A7C0,0.8730866,0,1,0.31447584253940275
212_8076DFE80,0.87305707,0,1,0.31413135319076135
14549_807B1C770,0.8730278,0,1,0.31178949429931335
1_801A9B350,0.87276655,0,1,0.3514876112411734
3242_80315C360,0.87274694,0,1,0.345745655775321
17732_804D33000,0.8725784,0,1,0.3074606236827407
240707_80F251090,0.87247914,0,1,0.31178949429931335
5464_81321F260,0.87232274,0,1,0.3074606236827407
26580_803D1B3B0,0.8723196,0,1,0.34697364550260396
12_800205030,0.87226397,1,2,0.5466943052934231
136651_80DCEC800,0.87226164,0,1,0.31178949429931335
35852_80F2CFB30,0.87196714,0,1,0.31447584253940275
14290_801C1EA60,0.8719522,0,1,0.3114479476834045
13078_804D043E0,0.8719365,0,1,0.3271414792145135
26024_8025350A0,0.8718667,0,1,0.31447584253940275
212789_80586EA00,0.87185866,1,1,0.316458026480373
232304_80F5EC2D0,0.87177885,1,1,0.3080522955029017
21258_800E2C420,0.8717721,0,1,0.3074606236827407
3420_801E88AC0,0.87167466,0,1,0.3522151973619726
22541_80879DC30,0.87167466,0,1,0.3522151973619726
12381_8039BB130,0.87147915,0,1,0.3114479476834045
3_802148330,0.8713546,0,1,0.3531271580135787
23691_80688CF90,0.8711524,0,1,0.3074606236827407
142553_81040E2E0,0.87101495,0,1,0.31447584253940275
21745_810FB7950,0.8709057,1,1,0.3212366578200706
2467_8023A9510,0.87088156,0,1,0.3077148427632307
245993_810DF3480,0.87081283,1,1,0.3077148427632307
18460_80C1BDDA0,0.8707973,0,1,0.3074606236827407
217125_806535590,0.87070566,0,1,0.34389856017170817
223635_80A059DD0,0.8705794,0,1,0.3074606236827407
14077_802533E40,0.87053865,1,6,0.470569495592869
4503_802520550,0.8704924,0,1,0.31447584253940275
1_802877A90,0.87044835,0,1,0.3077148427632307
219194_80980E0D0,0.8703059,0,1,0.3473745237626065
16535_80919E830,0.8702973,0,1,0.3077148427632307
2915_800E58E80,0.8702559,1,1,0.36377012757453864
27444_807FB2940,0.87013566,0,1,0.3077148427632307
21749_802BF2770,0.8701195,0,1,0.3077148427632307
29279_8044C7F80,0.8700653,0,1,0.3074606236827407
217680_8075A60E0,0.8700028,0,1,0.3074606236827407
231490_80C2508A0,0.8698914,0,1,0.3077148427632307
2439_8029F7730,0.86985844,0,1,0.3170267647039471
3655_801F03800,0.86978674,0,1,0.353892737801175
15916_8085506C0,0.8697197,0,1,0.3492064680811295
16011_80ECD6DA0,0.8697197,0,1,0.3492064680811295
3_8039162F0,0.8697197,0,1,0.3492064680811295
10099_803B3EA60,0.8697197,0,1,0.3492064680811295
29802_80EE5D460,0.8697197,0,1,0.3492064680811295
513_8082B39F0,0.8697197,0,1,0.3492064680811295
221731_81400AC00,0.8697097,1,1,0.3141297101103258
1068_800FB1BD0,0.8695482,1,1,0.3170267647039471
125699_80BC2A580,0.8695244,0,1,0.3077148427632307
4766_80CD9EB80,0.86951894,0,1,0.3077148427632307
11_8001021C0,0.8691006,1,1,0.36763005713185304
15643_80F7EECB0,0.86908674,0,1,0.3383652981128033
226951_80E6ED090,0.8690465,0,1,0.3074606236827407
795_80BAEB330,0.8685521,1,1,0.38922556861703456
1501_8026B99A0,0.8685115,0,1,0.3532982247645656
